ip_split1,ip_split2,ip_split3,ip_split4
183,96,202,195
222,107,72,173
121,130,182,60
113,199,19,34
211,106,69,79
112,187,240,129
123,108,163,103
175,113,160,23
211,196,145,226
211,111,233,69
211,47,115,147
221,146,11,165
27,35,39,10
49,142,39,126
110,35,144,143
123,108,160,90
210,57,228,74
211,47,108,69
211,219,77,127
180,233,200,228
180,233,197,192
222,112,222,232
175,209,232,176
27,35,65,38
49,142,54,45
113,199,25,8
218,153,175,158
211,47,89,19
112,169,201,99
111,118,39,59
220,118,243,236
175,193,182,77
220,93,21,189
14,36,20,175
118,32,68,9
221,146,201,9
118,36,129,85
14,39,95,93
59,5,180,223
121,162,148,15
175,209,41,204
61,74,245,223
180,233,211,35
58,225,58,143
210,113,116,203
61,72,167,46
121,170,154,172
222,110,227,236
116,255,67,46
118,36,251,49
221,167,206,51
61,74,161,171
220,117,73,206
118,36,152,220
124,111,243,226
61,72,173,156
221,149,164,102
14,58,42,87
220,86,222,58
14,39,61,63
121,131,211,106
180,233,224,62
121,134,88,143
121,138,83,26
14,39,150,203
121,167,100,193
122,128,204,60
125,131,99,217
218,51,42,164
58,124,83,124
221,146,152,82
175,208,193,102
121,167,216,129
125,131,65,61
221,148,155,7
221,139,5,163
222,106,29,42
59,6,49,136
175,209,231,103
211,218,223,142
175,196,114,212
203,130,106,18
14,32,174,219
221,167,228,37
125,131,99,3
1,231,151,62
220,72,138,250
61,73,21,173
175,198,9,248
125,141,30,12
175,198,0,41
222,109,110,148
14,63,40,3
121,128,230,127
58,127,213,188
61,75,87,71
211,243,186,75
220,85,80,213
59,9,173,146
49,142,6,248
221,139,98,179
59,187,201,105
106,247,120,125
121,140,31,129
211,207,20,115
121,133,140,223
121,131,243,215
175,208,142,92
211,244,27,253
121,133,64,153
211,47,105,6
220,117,222,12
125,131,85,229
221,149,10,184
112,170,50,32
125,131,111,229
14,32,179,198
121,130,52,50
218,153,205,157
218,153,151,107
59,10,67,82
59,9,173,41
14,36,253,242
220,117,232,38
121,165,243,27
112,172,141,207
183,98,51,168
14,52,235,66
125,131,8,27
125,132,237,39
111,118,62,84
147,47,194,137
121,165,211,118
121,135,252,137
121,170,132,193
180,233,197,220
121,134,149,170
175,209,40,176
14,52,88,160
61,74,235,111
183,98,91,113
211,248,170,220
110,34,105,57
121,138,128,122
14,40,34,175
180,233,221,61
124,195,253,171
125,129,10,251
221,148,41,215
112,169,199,33
61,102,243,140
222,108,59,107
121,161,245,192
175,197,192,26
211,55,93,147
180,233,214,105
118,32,78,156
61,78,138,3
222,112,69,189
121,160,234,134
175,197,156,37
175,208,142,137
221,154,185,123
121,130,16,30
110,34,111,240
211,35,135,71
180,233,194,184
203,128,201,113
203,128,203,244
121,141,61,145
222,106,7,93
175,214,87,111
175,209,20,142
61,74,146,149
211,111,234,10
222,106,153,201
121,134,176,42
119,192,122,30
112,221,13,118
221,146,189,3
175,114,80,191
121,135,212,185
211,47,88,49
220,70,27,210
121,141,61,204
61,82,119,149
121,138,200,206
218,146,83,18
125,129,111,245
14,32,93,74
183,98,109,63
218,38,99,163
110,12,88,13
221,151,132,217
125,128,236,165
121,166,86,23
211,219,105,165
222,107,127,170
121,130,31,129
112,170,50,19
175,193,198,182
211,41,192,7
211,51,34,244
180,233,211,236
211,201,168,43
121,134,101,232
61,73,70,44
221,138,229,113
118,37,30,177
121,133,5,150
121,133,84,21
122,128,219,228
125,129,124,28
220,86,45,246
121,130,212,179
222,109,150,134
121,140,208,66
125,141,7,10
59,10,217,124
59,5,211,70
222,112,52,127
222,112,5,121
59,15,116,205
175,193,122,219
211,201,211,174
183,98,93,179
211,44,18,140
220,85,28,91
210,94,14,89
59,6,36,134
218,147,247,97
211,197,26,21
121,129,13,147
211,46,41,167
121,161,237,220
180,233,209,203
220,85,83,216
182,172,198,30
61,82,78,233
121,135,171,71
58,140,9,64
218,238,18,160
219,251,106,176
183,101,133,249
61,75,78,236
59,15,162,71
61,74,89,242
121,141,50,176
220,93,115,79
121,160,230,163
14,52,210,133
180,233,201,201
180,233,221,2
222,108,95,70
121,130,54,94
14,40,100,130
112,171,19,23
14,138,193,81
220,118,109,208
211,63,140,1
14,39,91,239
180,233,206,134
121,167,127,86
211,58,73,45
112,169,87,69
211,219,151,65
59,29,241,152
221,149,49,201
59,15,96,165
211,104,108,162
116,255,97,165
183,101,173,51
124,195,243,77
180,233,207,115
211,245,61,196
222,106,240,18
211,59,99,28
14,32,51,68
110,35,190,43
175,209,149,90
121,133,67,201
221,147,127,8
59,6,64,149
14,32,214,12
220,70,48,246
222,112,153,92
61,35,8,226
183,96,76,132
14,32,85,71
221,149,24,51
222,109,28,246
218,153,109,220
211,177,47,206
220,86,176,108
218,235,1,73
175,197,1,162
221,151,65,161
121,170,190,231
175,192,120,88
220,117,98,161
121,167,166,160
121,134,83,7
112,187,160,215
210,113,127,94
218,235,27,98
121,167,206,22
119,192,60,236
118,36,148,10
219,255,44,52
220,117,115,138
121,162,203,91
118,32,77,46
125,143,149,222
220,70,5,225
112,171,63,90
220,70,86,117
220,70,60,46
175,192,71,91
218,145,128,67
221,148,220,19
183,98,194,97
183,96,84,81
221,151,24,166
210,183,225,53
125,128,174,176
218,144,200,89
121,138,136,27
115,161,4,116
121,140,101,189
221,149,203,158
121,160,217,104
119,192,16,218
210,113,104,195
210,121,186,2
220,118,38,67
59,187,216,219
59,5,176,14
211,248,194,186
121,166,159,182
118,37,60,219
1,232,136,75
61,82,127,126
118,32,152,157
175,197,202,109
14,36,31,27
58,127,223,108
1,229,131,54
220,76,135,69
61,72,72,151
14,32,75,242
58,228,129,68
14,36,115,105
61,82,90,134
121,130,2,8
121,133,111,29
118,32,131,157
221,148,20,214
59,9,162,180
175,193,224,222
59,15,198,211
203,236,94,29
121,130,191,22
121,140,78,23
112,169,246,193
221,149,17,94
121,141,149,65
61,74,103,242
121,129,133,126
61,72,173,27
211,216,14,183
183,101,133,167
183,101,157,6
175,193,106,13
112,171,84,252
180,66,48,61
14,36,100,37
211,48,3,64
220,93,59,89
180,233,248,127
183,96,161,25
122,44,61,166
121,134,56,26
221,146,62,95
222,237,44,224
121,135,212,111
1,216,198,188
118,36,194,138
223,131,200,233
118,221,56,186
59,29,244,14
14,32,174,33
220,71,55,52
175,119,210,20
121,161,232,53
112,172,191,14
183,109,102,224
1,232,123,230
218,145,175,11
14,36,107,56
183,101,196,120
123,109,151,138
1,232,217,49
61,78,100,130
175,192,39,203
115,161,53,53
222,109,94,109
175,211,83,228
211,44,157,9
222,106,159,74
220,118,111,47
222,232,109,91
114,206,35,217
218,144,192,133
14,40,80,94
220,93,118,138
218,38,60,46
121,128,157,39
222,107,187,134
112,171,61,188
175,113,147,52
125,132,114,111
222,99,250,22
118,37,113,124
121,140,217,115
121,134,29,139
58,233,70,148
219,255,232,118
1,232,129,38
211,197,35,46
211,196,41,67
220,72,107,57
218,152,60,97
121,162,128,21
221,147,20,251
183,101,173,99
222,109,19,184
211,42,206,28
223,131,2,24
125,129,178,246
125,129,56,48
125,129,30,21
211,106,4,146
221,146,90,141
175,193,232,66
211,196,226,42
121,133,33,75
110,35,104,103
61,74,87,159
183,101,152,228
125,128,130,218
175,117,136,58
175,192,59,91
222,109,81,85
121,135,251,23
125,141,36,98
61,82,147,101
175,192,82,67
175,193,117,106
121,138,65,11
183,101,170,81
211,219,49,6
121,170,212,124
211,192,203,178
121,130,137,195
220,72,197,238
183,98,54,11
121,130,171,73
14,63,10,80
118,37,89,130
175,209,37,243
14,52,105,87
175,197,223,64
221,146,109,163
119,196,217,150
125,133,60,46
211,48,15,62
121,130,62,131
183,101,135,26
221,150,117,6
121,138,50,142
59,9,183,20
221,146,20,88
211,35,178,165
125,133,70,224
14,36,253,234
118,33,30,207
123,111,90,30
121,135,220,21
221,151,93,157
175,197,113,155
222,109,39,239
211,104,79,175
221,150,47,194
59,6,93,172
211,44,221,104
115,21,103,81
106,246,97,208
222,112,75,90
119,192,156,252
175,193,27,214
112,218,168,234
221,146,137,190
218,144,110,19
112,169,209,154
59,187,215,87
211,219,65,212
175,113,136,111
118,37,126,164
121,134,92,232
114,202,200,105
211,49,100,162
121,134,96,186
183,109,112,193
125,133,89,188
125,131,94,100
61,75,83,253
210,123,106,36
211,48,19,195
121,130,60,12
1,229,12,197
14,36,198,253
112,169,82,70
218,152,140,169
221,150,15,6
210,222,20,52
61,106,111,9
220,93,17,160
220,76,135,114
14,36,162,131
211,201,43,103
211,207,142,119
218,147,230,137
14,34,43,51
125,129,39,223
220,85,158,184
221,146,87,160
222,232,111,7
220,117,28,47
118,32,172,106
175,197,196,216
1,211,133,74
119,192,254,94
220,117,102,99
220,117,232,126
61,75,84,131
121,171,110,200
220,72,252,116
118,36,233,157
121,162,43,45
175,214,81,249
14,7,194,214
125,129,81,66
222,111,115,141
220,70,73,21
220,76,184,150
121,140,68,45
175,211,85,172
175,197,167,145
203,234,134,37
1,234,139,87
222,110,20,108
14,36,188,93
211,206,112,121
220,86,60,216
222,109,38,128
222,108,1,233
112,172,138,125
218,146,49,28
1,235,250,92
112,221,194,101
14,39,29,2
210,101,75,119
118,36,231,243
210,121,187,63
218,144,95,209
219,241,154,109
121,160,75,128
175,198,71,95
175,211,101,196
59,6,212,106
58,233,159,74
183,99,18,81
1,230,83,219
121,140,131,220
221,167,216,239
218,51,19,111
115,94,137,114
114,202,204,15
210,221,17,101
121,140,228,4
221,150,27,91
175,192,0,111
58,122,94,33
121,131,66,217
175,193,152,152
58,145,34,187
112,187,161,8
220,76,196,36
119,192,158,234
58,123,69,113
121,161,212,90
59,9,152,123
221,146,46,43
221,148,116,26
61,73,85,238
211,192,191,21
210,91,36,123
14,52,64,93
220,116,154,215
222,106,208,192
121,162,77,77
116,255,86,127
14,39,209,171
175,209,16,67
211,219,115,127
211,202,132,122
211,108,138,141
218,51,58,87
125,128,57,156
14,39,10,230
175,197,201,18
58,233,177,168
210,220,67,64
125,128,172,20
211,219,42,139
218,238,133,38
219,254,237,173
220,93,4,35
121,165,160,203
118,36,134,249
121,128,170,59
121,140,78,38
111,118,56,149
175,197,222,205
222,108,184,68
125,128,63,9
211,193,31,230
211,217,248,132
59,15,106,25
118,32,91,185
112,169,112,247
125,128,179,33
119,192,228,125
115,21,50,209
220,116,185,115
59,6,57,215
61,74,229,131
59,15,12,105
220,118,182,217
125,141,45,220
218,153,243,69
114,205,236,242
218,51,187,130
121,133,55,97
119,192,75,116
220,116,244,53
1,231,129,120
125,177,193,134
58,123,30,15
221,145,60,236
175,197,52,49
222,112,52,13
114,204,54,171
1,235,163,201
211,117,11,220
211,193,59,48
222,237,91,89
218,144,207,124
222,109,92,65
1,232,162,13
121,160,210,142
175,211,85,11
106,255,41,236
221,148,63,159
110,34,75,97
125,128,157,245
210,123,113,218
222,109,71,134
49,172,118,41
1,232,225,61
220,118,228,127
222,109,111,232
222,232,20,248
121,141,30,15
121,162,15,109
121,138,115,5
222,109,238,30
218,144,204,18
125,141,38,21
222,110,111,96
118,36,197,248
220,76,219,14
222,111,62,215
110,34,122,103
114,200,200,89
211,110,40,71
1,211,100,70
211,54,22,149
14,39,72,127
119,192,147,249
59,10,147,245
203,210,48,164
59,6,7,152
118,32,164,1
175,193,172,42
183,101,163,231
61,74,221,198
211,49,140,46
219,241,127,201
121,161,213,66
1,229,14,149
121,161,205,171
220,117,212,73
119,192,241,87
112,171,78,202
121,140,32,81
222,109,196,29
121,138,172,40
211,212,71,216
121,131,39,13
58,233,17,115
210,126,3,221
175,125,175,96
222,110,40,85
58,238,41,253
121,129,16,56
118,36,138,47
175,117,167,140
125,133,91,153
112,171,92,101
1,240,230,219
121,161,206,33
112,171,103,207
118,91,7,187
175,192,63,85
218,152,131,184
183,96,15,165
218,50,226,52
121,130,184,213
175,114,13,125
121,140,63,212
59,15,128,123
112,171,53,189
180,70,151,240
220,72,27,91
221,146,224,5
59,5,120,158
183,96,29,204
220,73,27,17
121,162,172,55
58,233,84,214
221,146,24,27
59,15,39,69
118,32,149,204
211,58,28,62
121,171,110,142
125,133,56,205
183,98,253,15
61,74,27,36
220,76,188,117
118,223,127,114
121,129,180,245
14,38,30,32
221,141,91,26
121,130,14,52
58,140,218,73
183,96,134,72
220,76,201,204
211,219,147,41
1,234,135,69
121,141,106,73
114,202,215,191
220,86,1,94
121,131,127,167
211,51,70,184
183,98,182,180
39,123,80,181
118,33,94,244
218,50,252,205
175,192,136,196
121,129,139,234
1,229,128,146
175,193,108,250
222,112,166,117
59,5,69,132
116,255,76,196
114,203,113,85
218,144,18,107
61,78,80,198
106,245,196,39
112,170,50,167
14,38,76,83
211,218,50,151
113,30,2,201
110,11,213,109
14,52,166,5
121,161,163,111
121,161,175,104
121,167,99,166
220,86,190,184
1,239,183,26
14,35,43,15
222,110,195,29
121,160,31,98
175,113,246,147
112,172,191,73
175,193,11,72
175,214,111,99
175,193,8,252
175,193,45,65
121,166,75,43
219,254,120,18
175,197,19,13
58,143,43,96
111,118,30,79
112,169,77,93
121,160,222,151
58,127,186,139
219,255,41,39
218,236,64,161
118,32,109,248
222,106,255,181
121,135,150,142
121,140,12,251
175,192,193,232
61,82,180,104
125,129,42,183
59,6,246,118
220,93,107,52
14,40,28,55
183,109,94,155
220,70,15,86
118,33,89,247
125,131,140,162
203,249,190,32
222,107,214,28
222,112,199,43
221,145,106,61
118,91,4,213
175,113,128,75
115,161,171,37
118,32,138,45
112,172,221,174
121,162,203,202
119,196,110,133
14,39,12,21
220,76,252,247
121,167,205,95
112,212,158,100
222,109,240,211
118,32,160,6
1,232,42,174
211,221,160,140
175,119,171,68
211,217,173,129
211,178,74,46
1,211,103,172
112,170,29,76
210,101,73,188
119,192,187,244
211,202,147,16
110,12,84,176
59,10,246,63
183,101,136,178
121,140,148,246
221,149,29,161
221,138,91,131
218,146,39,13
220,86,66,21
183,96,81,166
1,227,79,99
218,52,187,22
121,141,189,95
116,255,94,39
115,161,104,22
220,117,8,43
123,214,28,53
210,220,173,133
210,205,46,54
1,232,124,9
221,167,205,113
218,234,172,45
61,74,33,63
211,248,242,129
211,210,212,205
112,214,24,43
175,123,224,165
121,140,101,42
61,75,91,183
118,36,231,167
222,234,171,8
112,187,162,53
211,196,219,42
211,206,244,70
210,123,113,59
1,240,187,139
112,171,63,49
121,130,212,166
1,216,140,19
222,111,120,30
219,254,17,244
121,134,158,33
220,118,166,154
175,114,4,34
125,133,93,128
49,1,186,152
211,117,48,160
222,108,115,164
211,58,159,98
119,192,209,91
220,117,23,110
175,124,146,33
219,248,140,7
119,196,204,124
121,140,129,127
222,108,204,190
121,130,128,149
118,33,22,24
121,141,143,81
121,129,70,32
59,10,195,141
203,229,92,69
183,96,50,236
211,226,114,235
121,130,133,71
58,230,143,165
125,132,181,41
1,210,203,236
1,231,38,213
121,129,45,143
121,134,6,202
59,15,252,53
218,235,68,22
110,10,177,40
222,112,69,159
222,107,26,1
210,121,176,62
218,144,5,176
211,41,124,174
222,110,206,110
61,82,158,46
121,138,34,1
221,149,171,188
14,38,80,87
175,197,34,113
121,135,243,30
14,32,147,157
110,12,90,29
175,209,53,184
211,49,141,103
175,207,46,248
61,102,253,232
183,102,85,112
218,38,6,206
121,125,197,77
118,36,144,235
121,171,182,211
1,240,238,102
211,209,116,245
168,126,112,61
58,122,74,123
211,208,141,91
61,102,132,114
220,93,52,236
175,125,173,86
211,58,5,212
220,86,74,112
222,109,116,193
121,131,107,82
175,198,93,48
125,141,76,26
175,192,64,167
125,129,50,100
58,233,7,35
1,227,251,155
39,124,6,57
222,109,195,144
116,255,68,11
119,192,9,108
211,209,70,108
58,127,218,107
211,211,1,232
125,128,187,42
211,196,90,89
222,112,247,118
119,196,216,22
1,224,154,105
175,192,239,204
14,39,149,102
61,74,125,173
14,32,41,143
121,162,3,204
219,255,224,34
115,136,209,39
49,142,15,79
121,128,111,219
175,124,194,90
14,39,162,146
118,223,176,221
175,123,106,59
121,131,198,123
183,98,182,80
123,212,166,176
175,214,115,234
222,237,185,38
211,192,98,4
175,211,30,105
220,76,167,197
221,148,152,130
121,128,143,241
221,146,125,12
211,178,201,143
61,255,204,211
116,255,95,134
218,232,69,34
61,82,159,179
175,197,6,137
222,106,35,126
220,85,167,1
222,106,88,27
1,239,26,11
218,232,10,131
220,93,61,62
175,124,137,142
211,106,34,68
218,49,131,14
222,111,66,11
218,38,102,70
211,219,42,3
121,134,187,228
221,146,18,226
175,197,191,43
218,144,149,121
1,231,235,118
211,208,152,25
211,193,61,77
220,76,206,234
121,124,148,138
1,231,151,171
180,68,41,88
219,254,14,4
125,129,212,95
111,118,51,186
39,122,221,6
180,66,148,217
220,72,70,192
59,10,62,219
118,33,124,252
59,6,8,96
118,176,19,167
175,211,84,80
1,222,150,65
210,205,234,49
220,72,96,150
112,217,117,10
1,234,186,96
118,176,129,24
118,32,144,164
180,182,143,21
221,146,170,216
121,162,205,85
211,104,159,97
119,196,60,190
211,58,109,63
118,131,253,243
121,161,252,191
218,235,41,74
220,117,96,95
220,70,88,142
58,121,154,233
211,212,79,37
1,230,79,124
211,104,33,33
168,126,32,230
121,162,92,199
1,239,253,215
58,123,121,80
14,36,45,161
125,129,204,78
115,21,91,226
59,15,84,146
175,193,115,219
118,218,214,152
49,142,76,62
1,236,6,40
1,229,67,164
221,149,246,155
220,70,50,64
1,225,162,236
211,207,159,43
222,108,210,89
175,113,38,156
221,146,125,50
183,101,244,49
58,141,1,172
110,34,66,156
183,99,113,149
211,108,59,78
218,232,8,211
220,116,112,100
58,230,104,70
125,133,98,157
210,183,230,104
203,229,246,160
1,230,109,138
1,229,220,178
59,15,94,163
59,15,20,161
211,217,100,104
14,38,88,80
118,221,232,152
175,211,80,94
218,144,52,185
175,209,226,211
218,152,35,35
218,144,184,113
1,227,206,68
125,143,165,177
121,141,162,199
121,140,8,155
39,115,73,193
175,193,43,134
222,112,60,27
211,244,64,213
58,140,57,64
14,34,50,204
175,114,33,104
125,176,21,8
61,74,20,1
121,141,196,232
183,99,71,139
118,32,92,72
1,224,218,139
121,163,134,207
175,123,153,104
220,71,55,124
112,187,230,31
218,144,115,97
1,230,214,71
118,91,7,210
211,187,12,52
118,33,45,211
175,118,98,192
121,134,244,179
61,39,201,195
61,72,81,115
111,118,56,162
61,75,73,148
211,208,98,38
125,128,146,30
14,36,163,184
58,230,111,184
211,48,69,102
222,234,87,218
218,146,10,215
1,229,45,139
61,78,79,48
1,227,252,30
59,10,62,10
211,58,75,129
61,39,16,72
1,234,247,10
175,124,180,86
175,192,98,175
58,229,112,21
125,129,12,146
1,232,0,27
221,146,90,102
221,142,70,2
121,167,191,135
175,198,0,117
180,66,19,131
121,161,179,198
58,226,16,26
59,9,159,137
211,117,48,158
1,253,59,137
1,216,5,212
221,138,231,23
220,72,39,151
58,141,39,116
218,39,137,154
1,230,197,151
175,124,202,14
58,234,54,164
121,131,245,217
106,248,35,200
61,72,15,63
218,234,172,48
221,148,69,120
222,112,59,136
1,218,252,99
211,178,59,140
59,6,130,119
112,187,147,109
125,129,109,101
218,39,186,171
211,212,6,142
211,244,177,62
58,226,161,183
110,12,21,41
58,120,83,46
27,115,133,155
59,5,15,135
118,218,20,31
220,72,245,156
14,36,16,88
58,233,131,131
211,208,195,110
121,160,243,91
1,227,202,114
211,214,53,193
58,230,111,217
118,32,95,2
175,117,82,16
203,234,223,248
118,36,203,225
119,192,15,110
1,218,182,150
221,146,26,212
121,190,204,119
221,146,12,24
58,226,161,2
175,193,219,170
61,74,208,149
222,109,216,161
175,124,216,114
203,132,187,69
175,193,245,53
210,207,156,116
121,128,208,195
59,9,156,195
222,233,147,77
220,117,219,17
59,6,113,80
175,113,238,135
1,229,245,230
59,15,205,190
61,75,87,121
61,75,2,204
219,250,49,76
1,230,105,141
211,196,44,224
14,39,195,154
220,117,95,237
118,32,185,50
121,162,93,185
121,162,16,189
123,254,167,113
121,166,103,97
220,86,101,6
58,234,61,2
58,76,188,119
1,227,253,67
61,98,156,176
119,192,143,184
220,116,167,24
211,192,36,137
14,36,189,197
210,178,122,32
1,228,10,132
222,109,39,151
58,229,148,76
14,40,79,126
121,131,159,222
121,131,40,57
58,233,157,117
58,127,14,94
175,192,99,191
58,123,13,18
183,96,71,132
125,129,110,162
175,192,50,155
58,145,57,195
211,206,144,246
14,63,109,244
121,130,249,232
168,126,57,206
123,254,205,185
61,97,236,32
222,232,183,92
123,109,56,52
175,192,45,11
222,111,69,202
221,151,142,191
121,129,143,220
121,130,181,95
1,248,242,9
221,147,91,108
220,86,190,6
14,38,10,160
121,129,139,152
61,75,55,155
116,122,184,74
1,239,43,36
1,229,29,60
118,131,239,205
118,217,228,72
1,230,105,97
210,108,197,70
211,217,46,166
39,115,107,36
220,73,51,78
210,182,183,205
27,115,142,137
121,129,142,96
121,162,213,58
1,219,83,116
220,72,239,33
221,146,20,96
39,123,98,162
39,115,228,60
121,131,95,250
211,204,206,227
222,109,161,114
14,39,249,120
211,178,92,86
1,234,142,37
1,229,199,141
61,78,150,103
211,187,186,56
61,41,35,138
221,143,129,13
125,129,12,152
175,193,233,170
58,228,168,109
118,221,63,247
121,162,205,53
58,231,43,96
221,146,90,201
125,128,173,137
210,92,55,238
39,123,99,40
118,223,77,191
218,239,58,17
115,41,201,68
106,248,75,40
219,241,44,167
211,243,190,167
112,212,39,243
210,179,170,32
59,10,231,25
221,149,246,167
1,240,231,210
114,203,133,194
222,110,107,191
222,111,130,113
39,123,44,118
14,36,155,184
221,146,44,219
39,115,125,49
220,117,110,139
113,30,39,246
211,44,144,247
59,9,189,60
124,199,218,202
211,33,83,66
222,237,213,114
121,141,31,195
1,225,169,69
211,244,121,83
14,40,12,148
211,193,27,59
1,231,178,24
61,98,207,103
219,251,11,160
175,192,180,103
220,76,136,120
210,94,81,110
110,8,129,233
121,131,192,207
59,6,68,175
222,109,179,233
1,230,45,118
220,116,38,118
218,39,171,187
14,40,95,219
110,11,127,96
61,253,226,219
211,203,53,102
114,201,203,43
175,117,167,138
119,192,89,181
39,115,28,79
121,140,20,160
119,196,10,217
175,193,100,7
119,194,158,183
118,33,97,198
175,193,100,124
14,38,23,191
1,216,140,71
14,36,5,63
211,179,7,181
125,129,201,75
218,48,11,106
14,40,100,47
218,51,67,134
211,217,121,142
58,233,25,179
221,138,229,102
125,129,244,235
121,162,98,206
218,144,204,233
218,152,184,219
58,127,215,5
218,51,79,114
121,128,103,240
175,193,100,78
203,253,86,194
121,130,84,224
222,111,58,92
210,219,179,154
1,229,79,84
122,45,49,21
175,125,61,136
58,233,25,214
58,233,202,119
211,201,98,106
175,124,40,16
59,9,219,232
124,55,11,183
218,51,26,195
39,114,236,17
110,15,243,125
175,193,154,102
118,33,119,101
220,72,103,45
112,218,139,12
123,254,238,243
114,203,39,124
61,73,26,200
110,11,97,86
211,202,55,208
220,93,61,115
59,10,253,203
59,10,236,211
175,193,60,191
1,229,241,208
211,46,42,17
218,48,169,43
58,120,143,182
175,193,58,207
39,123,35,15
14,36,155,145
211,108,216,14
113,30,41,89
222,109,39,223
119,149,17,15
219,255,243,107
121,131,101,203
220,71,79,104
119,192,225,243
59,6,189,131
175,125,177,50
222,112,37,160
59,6,223,202
1,231,191,205
118,33,96,161
119,192,120,41
211,177,3,230
58,123,164,145
118,32,86,235
211,109,218,201
1,232,92,84
39,125,37,90
61,75,72,191
121,141,156,117
112,187,147,45
211,217,129,200
220,72,229,51
112,218,192,28
175,197,114,190
211,109,114,174
183,96,62,127
220,76,31,164
180,64,223,53
122,44,97,43
175,211,71,193
118,223,193,42
211,193,37,224
106,249,137,163
14,39,83,162
218,235,45,113
39,122,174,188
59,15,81,151
221,138,89,65
121,130,182,249
220,116,225,61
1,229,6,235
112,172,219,97
222,109,190,178
112,222,40,138
175,193,3,16
175,119,189,81
218,39,104,97
221,143,30,154
112,221,42,194
110,35,156,156
211,44,8,151
218,144,112,10
210,94,69,42
175,120,33,147
221,139,214,62
222,109,242,45
121,170,150,10
59,10,254,217
59,15,153,23
112,171,104,179
61,74,39,154
211,214,231,45
221,138,212,254
211,206,73,117
110,12,45,240
175,113,154,228
119,196,70,218
58,120,230,215
1,228,22,55
1,216,192,249
218,48,33,40
1,225,171,96
211,33,36,197
1,211,219,124
39,123,33,196
210,221,25,10
175,117,27,141
218,238,78,93
218,39,53,89
124,54,105,130
58,122,189,163
58,230,150,208
175,112,45,227
112,155,28,45
1,240,125,220
219,240,45,138
1,216,231,150
58,228,222,118
122,44,75,129
111,118,23,124
39,124,3,33
175,115,247,152
49,163,43,184
175,123,149,52
218,39,140,176
175,114,33,21
110,34,79,113
211,204,45,225
222,112,38,152
58,140,236,153
1,229,232,174
58,143,206,200
180,65,164,5
121,130,84,36
110,12,91,194
1,212,28,205
180,65,0,181
58,233,119,27
1,229,29,253
121,161,169,180
175,125,150,187
1,225,50,55
1,232,213,239
1,228,25,70
221,138,2,42
119,192,202,131
175,119,190,11
211,187,4,50
58,225,235,13
211,176,22,164
210,205,230,65
218,50,46,149
110,10,165,154
210,0,46,176
116,37,86,14
180,228,24,26
218,235,36,37
211,49,194,182
210,94,22,130
222,232,40,102
175,113,205,56
1,223,229,120
219,240,34,168
1,240,229,191
1,225,102,232
1,216,207,165
1,224,230,171
122,44,29,61
58,229,146,227
211,49,202,134
218,232,17,222
175,117,3,185
118,221,28,58
119,149,23,78
175,123,197,147
106,246,97,199
58,233,177,16
61,255,175,33
222,112,35,18
1,233,65,106
218,237,96,54
1,225,1,164
221,142,8,225
211,32,33,211
118,37,7,21
116,46,100,142
119,149,66,28
118,218,10,80
124,111,242,201
118,176,137,1
183,98,198,6
116,44,166,167
203,210,41,254
112,187,240,234
1,214,178,121
14,38,17,2
175,193,122,248
